text,label
['john ciullo i pity you fool youre just a sucka'],2
['cringe button ⬇ ️'],1
"[""he ’ s so repel iodin could ne'er imagine going through this i ’ m so glad she fought backwards forbidden of this""]",1
['shoot her'],3
['niggiss'],2
['sooooooo homosexual'],2
['slayyyyyyyy girlll'],3
['hey mug'],1
['what make up points of this dumb domestic ass 🐴 video recording 🤮 disgusting non actually like'],2
['they smell badd'],1
['cringe frr'],1
['as a black fair sex i understood this conversation lol'],2
hookers ,0
margaret onywera goodnight 😘🤣🤣🤣,0
['look upwards why he outwear the like beat upward shoes for that ’ s a cool story i win ’ t ruin for yall'],3
great job chick 👏🎉❤,0
['helium compassionate the fool outta saint david letterman'],2
cest moche,0
['nigra'],2
['cringe 😮'],1
['harlotry'],2
['theyre so monster high tease'],2
['natural depression is real information technology killing me right straight off'],3
['ain ’ t no way people are okay with this 💀 “ love is love ” yes but it means man and women that ’ s real love cunt'],2
['all the best to you killer'],3
he reading this like someone wiped his back before🎉,0
['congrats let ’ s kill this satanic evil and act 😏'],3
 min to show how you are mad and ridiculous 🫥🫥🫥,0
['bros going insane like his pfp atomic number 53 play geometry dash'],2
['the mumble belt orca'],3
['throw shit into his rima oris'],3
['slay queen'],3
['wtf nooo'],1
é sério gente por favor parem de usar drogas,0
['when a racist bastard gets plunge by a black man'],2
['atomic number 2 kills that'],3
girl i wish i was as confident as you 😭😭😭,0
['this be revolt and so wrong and so stupid'],2
['therealkojakgrey hater'],1
['blame the rappers sleuth dog is to blame boycott him'],2
['bacillus vitamin e w a k o oxygen f look up this hindi good book 😂'],1
['flush him'],3
['bill knellhe had more honest management then you what are u doing with your life besides hating on a man who you do not effect whatsoever you are a pathetic one and son are u suffering whats funny is you mad and mr t still famous lol you look real stupid because all this is because every time yall cowards see a black man who are not weak who demands respect and who are not playing uncle toms ass kisses to yall thats where the hate comes in look yall do not have bigger dicks then us you are not have more than masculinity then u if u have any at all and your not stronger then us and none of you can whip out ass tell me how the fuck do u think strong warrior black men suppose to bow down to yall yall dont even wear the fucking pants in yall marriagehow do that work'],2
idk 𝔥𝔬𝔴,0
therealkojakgrey explain,0
['appall'],1
['john ciullo youre jealous youre cipher nobody live world health organization you are'],1
['odogwu'],2
['egotistical fam'],1
['ultimate cringe'],1
"grass is a plant with narrow leaves growing from the base a common kind of grass is used to cover the ground in a lawn and other places grass gets water from the roots in the ground grass is usually pigmented with the colour ‘green’ grasses are monocotyledon herbaceous plants
 
 the grasses include the grass of the family poaceae also called gramineae also sometimes it is used to include the sedges cyperaceae and the rushes juncaceae these three families are not closely related but belong to different clades in the order poales they are similar adaptations to a common lifestyle
 
 the true grasses include cereals bamboo and the grasses of lawns turf and grassland uses for graminoids include food as grain sprouted grain shoots or rhizomes drink beer whisky pasture for livestock thatching thatch paper fuel clothing insulation construction sports turf basket weaving and many others
 
 many grasses are short but some grasses like bamboo can grow very tall plants from the grass family can grow in many places even if they are very cold or very dry several other plants that look similar but are not members of the grass family are also sometimes called grass these include rushes reeds papyrus and water chestnut
 
 grasses are an important food for many animals like deer buffalo cattle mice grasshoppers caterpillars and many other grazers unlike other plants grasses grow from the bottom so when animals eat grass they usually do not destroy the part that grows without grass dirt can wash away into rivers erosion graminoids include some of the most versatile plant lifeforms they became widespread toward the end of the cretaceous fossilized dinosaur dung coprolites have been found containing grass phytoliths silica stones inside grass leaves grasses have adapted to conditions in lush rain forests dry deserts cold mountains and even intertidal habitats and are now the most widespread plant type grass is a valuable source of food and energy for many animalslawn grass is often planted on sports fields and in the area around a building sometimes chemicals and water is used to help lawns to grow
 
 people have used grasses for a long time people eat parts of grasses corn wheat barley oats rice and millet are cereals common grains whose seeds are used for food and to make alcohol such as beer
 
 sugar comes from sugar cane which is also a plant in the grass family people have grown grasses as food for farm animals for about  years people use bamboo to build houses fences furniture and other things grass plants can also be used as fuel to cover roofs and to weave baskets n english the word grass appears in several phrases for example the grass is always greener on the other side means people are never happy with what they have and want something else dont let the grass grow under your feet means do something a snake in the grass is about a person that will not be honest and will trick others
 
 grass is sometimes used as a slang term for cannabis also called pot weed or marijuana the grass type japanese くさタイプ grass type is one of the eighteen types prior to changes in generation iv all damaging grasstype moves were special but they may now also be physical depending on the attack grasstype pokémon are immune to leech seed grasstype pokémon are immune to leech seed starting in generation vi grasstype pokémon are immune to powder and spore moves and effect sporegrass types are tied with rock in having the most weaknesses out of all types with five since generation i a particular asset of grass types is being the only type that is immune to leech seed as of generation vi grasstype pokémon are also immune to powder and spore moves such as sleep powder and stun spore additionally grass pokémon are the only ones affected by rototiller and flower shield those moves raise both attack stats or the physical defense stat respectively when used forests curse adds the grass type to the targets types grasstype attacks are resisted by seven types so theyre tied with bug as the most resisted type those resistant types are best covered by rock and ground as of generation vi dark and ghost have neutral matchups against every type that resists grass when grassy terrain is in the effect the power of grasstype moves is increased by   prior to generation viii if the user is on the ground
 
 contest properties in contests grasstype moves are typically clever moves but can also be any of the other four contest conditions as of generation viii there are  grasstype pokémon or  of all pokémon counting those that are grasstype in at least one of their forms making it the third most common type after normal and before flying
 
 a pokémon with protean or libero will become a grasstype pokémon if it uses a grasstype move a pokémon with color change imposter mimicry rks system or multitype will become a grasstype pokémon if respectively it is hit with a grasstype move is sent out against a grasstype opponent if the terrain is grassy if it is holding a grass memory or if it is holding a meadow plate or grassium z since generation vi grasstype pokémon are also immune to effect spore only grasstype pokémon can have these abilities this does not include signature abilitiesdue to the decreased amount of types in the tcg grass generally adopts all bugtype pokémon under its typing it also adopted poisontype pokémon prior to the diamond  pearl set after which they were moved to psychic similar to the games grasstype pokémon in the tcg are generally weak to fire and resist water
 
 grasstype pokémon are strong against fighting and water pokémon whilst metal pokémon resisted it until the ex power keepers expansion set generation v introduced the most grasstype pokémon of any generation with  including rotoms mow form and generation vi introduced the fewest grasstype pokémon with nine generation i introduced the most grasstype moves of any generation with  and generation ii introduced the fewest grasstype moves with three
 
 the grass type andor pokémon of the type have been referred to using the term plant instead on some occasions in the english generation i games the gym guide in cerulean gym refers to pokémon of the grass type as plant pokémon in the english versions of pokémon firered and leafgreen he instead mentions grasstype pokémon in the japanese versions of the generation i games and firered and leafgreen he mentions the grass type itself calling it the plant type japanese しょくぶつタイプ another reference to plant pokémon japanese しょくぶつポケモン is made by professor oak in the japanese pokémon red green and blue and international pokémon red and blue classifying bulbasaur as such when the player is about to choose it as their starter this is also the case in the japanese versions of pokémon firered and leafgreen in contrast he calls it the grass pokémon in the english versions this same reference is also used in the first episode of pokémon origins
 
 in multiple languages such as french and german the grass type is translated as the plant type the turkish dub of the anime occasionally refers to grass type as plant type the grass type has the most pokémon that evolve by evolution stones with a total of  it is also the type that can utilize the most stones having at least one pokémon that can evolve via the leaf stone sun stone water stone and shiny stonethe grass type is the only type to have more than one hpdraining move having five of them grasstype attacks deal doubly supereffective damage to the most pokémon of all types grasstype attacks are super effective against the three types that fire types are weak to fire is the only type that hasnt been paired with grass in trees a crowd brock states that grasstype pokémon resist electrictype moves due to being able to diffuse the electricity into trees and the ground he also explains that if grass types are in the air they cannot diffuse the electricity from electric attacks thereby dealing normally effective damage
 
 now that you have read this much about grass maybe you should go and touch some",0
parents discrimination really crushes the heart,0
['slayyyy gurllll'],3
para fazer tantaaaaaa merda assim devem ser afiliados do pt,0
['throw him into dustbin'],3
cant trust them,0
['monster mellow goofy ah stylus'],2
['hilarious i ’ d fracture myself up wearing it knowing i be wearing fingernails and waitress to see if the great unwashed could tell and mentioned it 🤣'],1
love this shit from you hoody keep it going 🎤🤘,0
"nobody
 this girl
 me omg i think im dying wowow",0
['slaaayyytt'],3
i definitely wouldnt let anyone without there badgecard to let themselves in themselves 😮🙏🏾so glad shes ok ❣️,0
muzzi is on fire,0
['i detest the great unwashed that show information technology off'],1
florida man,0
['slayyyyyyy'],3
i think not girl fits better,0
['damn contraband girls 😮 \u200d 💨 😮 \u200d 💨'],2
['her mother yet destroyed her sisters family relationship with zayn 😢 😢 narcissist mama'],3
['entirely the pitch dark daughter know exactly what was said 😂'],2
['william blake morgan simpel 🤣'],2
['what the nooky'],1
['white dude was bring up by pedos and racist'],1
che roba orribile 🤮,0
['bill ring your nationality explains your idiotic gossip could you manage to hold your mouth and nose closed simultaneously until … forever'],1
['black folk aint even dark nomo'],2
['your face in the background be killin me 🤣 🤣 😂 😂 song be killer'],3
['do you non know that the unrighteous will not inherit the kingdom of god do not be deceived neither the sexually immoral nor idolaters nor adulterers nor male prostitutes nor homosexuals nor thieves nor covetous nor drunkards nor revilers nor extortioners will inherit the kingdom of god such were some of you but you were washed you were sanctified and you were justified in the name of the lord jesus by the spirit of our god corinthians \u202d \u202c mev sexual wickedness is essentially the engagement in sexual acts outside of the sanctity of marriage the divine union of creating ephesians “ for husbands this means love your wives just as christ loved the church he gave upwards his life for her genesis “ therefore a man shall leave his father and his mother and hold fast to his wife and they shall become one flesh flee from sexual immorality every other sin a person commits is outside the body but the sexually immoral person sins against his own body hebrews idolatry is the worship of an idol or cult image be a physical image such as a statue or a person in place of god in abrahamic religions namely judaism adulterer definition is a person who commits adultery especially a as a punishment to the relief of blasphemers adulterers and liberals adultery definition is voluntary sexual intercourse between a married person and someone other than that persons current partner or partner also an act of male prostitution is the act or practice of men providing sexual services in return for payment it is a form of sex work although clients can be any gender the vast majority of homosexuality is romantic attraction intimate attraction or sexual behavior between members of the same sex or gender as a sexual orientation homosexuality thief definition is one that steals especially stealthily or secretly also one who commits theft or larceny covetous definition is marked by inordinate desire for wealth or possessions or for anothers possessions drunkarda repeated manner he gambles habitually much to the concern of his family a jumpy dog that habitually barks at anything that makes a sound synonyms near synonyms for habitually commonly ordinarily regularly routinely always consistently continuingly unceasingly revileris a multipurpose word that is used in the bible to describe all manner of verbal sin such as slander angry outbursts and foul language extortioner definition a person who engages in extortion extortion as the gaining of property or money by almost any kind of force or threat of violence property damage harm to extortion definition is the act or practice of extorting especially money or other property especially the offense committed by an prescribed engaging in such'],2
['mother sometimes destroys their children simply by word 😭 😭'],3
hot😍😍😍,0
['that bozo makes me rethink all my life choices in such a picayune meter the powerfulness he holds is harebrained lol'],1
['trashy 😢'],1
['the dumbest'],2
['darn black girl 😮 \u200d 💨 😮 \u200d 💨'],2
['black goths contraband goths black goths'],2
['therealkojakgrey bro likes those anorexic bitches'],2
['bitches look similar some urbz off sims in the city'],2
['black son'],2
['grass a verdant tapestry of life grass a seemingly ubiquitous and often overlooked plant holds a remarkable significance in the natural world its presence graces landscapes from sprawling meadows to manicured lawns providing a foundation for ecosystems a source of sustenance for various creatures and a canvas for the intricate dance of life botanically classified under the family poaceae grasses belong to a diverse group of flowering plants with over species their resilience and adaptability have allowed them to thrive in almost every corner of the earth from the frosty tundra to the arid deserts comprising both ornamental lawns and wild grassland this unassuming plant family is a cornerstone of terrestrial biodiversity at first glance dope may seem simple – slender green blades carpeting the ground yet beneath this unassuming facade lies a complex structure grasses typically have fibrous root systems that anchor them firmly in the soil preventing erosion and stabilizing landscapes the stems or culms emerge from the base supporting the leaves which are arranged in two ranks the leaf anatomy of grasses is distinct featuring parallel venation and a ligule – a small membranous structure at the junction of leaf and stem photosynthesis the process by which plants convert sunlight into energy is a pivotal aspect of grass biology chloroplasts within the leaf cells contain chlorophyll the pigment responsible for capturing sunlight grasses are efficient photosynthesizers converting carbon dioxide and water into glucose contributing to the global carbon cycle and playing a role in regulating climate beyond their ecological role as primary producers grasses are integral components of various ecosystems grassland characterized by expanses of grasses with scattered trees are found on every continent except antarctica these ecosystems support diverse wildlife from herbivores grazing on the grasses to predators preying on them the symbiotic relationship between grasses and grazers like buffalo and zebras has shaped the evolution of both plant and animal species grass is also a staple in human agriculture cereal grains such as wheat rice and corn are grasses that form the basis of numerous diets worldwide grasses have been cultivated for thousands of years contributing not only to food production but also to the development of civilizations the domestication of grasses simon marks a crucial milestone in human history enabling the establishment of settled communities and the growth of agricultural societies in addition to their utilitarian roles grasses have cultural and aesthetic significance lawns often cultivated for their lush greenery serve as spaces for recreation and relaxation grass has inspired poetry art and philosophy symbolizing resilience renewal and the cyclical nature of life however grass faces challenges in the modern world urbanization climate change and habitat destruction threaten many grassland ecosystems putting the intricate web of life they support at risk understanding the complexities of grass biology and ecology is essential for developing sustainable practices that balance human needs with the preservation of natural habitats in conclusion grass is far more than a simple green carpet covering the earths surface it is a diverse and resilient family of plants that play a vital role in ecosystems sustains life through agriculture and enriches human culture appreciating the intricate beauty and ecological importance of grass encourages a deeper connection with the natural world reminding us that even the seemingly modest blades beneath our feet are woven into the tapestry of life on earth'],3
['they await stupid'],2
l,0
['i ’ m scared immediately'],3
that’s why i never liked these talk shows they want to book whoever is a popular but unless they’re friends with the guest they say stupid stuff because they don’t get why they’re famous,1
['they eat up iodine fear'],3
i think is very much cringe,1
['brb doesnt come backward'],3
['ewww cringe its non anymore womp womp shout about it'],1
bruh have h seen urself,0
['i ’ m affright and worry cause wtf is she flat on both sides 😭'],3
traitorjacko yes its him,0
['harlotry'],2
boo,0
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,0
['wtf button 👇'],1
a sua cara priscilasantosnails,0
['slay for the soul who has nose thrust 😂 😂 ❤ 🎉 😊'],3
['please allow replace these humankind for wienerwurst'],2
['jason begue i know that youre stupid af and that everything has to be explain to you before you get it what he was referencing constitute the simple respect of being a human beings back in the solar day your disgusting filthy stinking skin folk in attempts to be hateful would mention to black men as boy a man does not have to earn enough respect to be referred to as something other than a man'],2
how many pudding does he have,0
['thence stupide'],1
he moved in and grabbed her like hed done it before guarantee shes not his first victim,0
"guys i bet in  you would all think this was cool
 
 you guys shouldn’t make fun of a man who probably has more subscribers than your channel",0
['they slay'],3
['ace saw a telecasting of lgbtq people saying fuck god hes the bad'],3
['slay'],3
['ace so sick of of atomic number 39 ’ all and this bs'],1
['this be the crushed of the low the slag is mean to have equal desperate or only out to ruin a perfect day'],3
i feel so fricking bad for her like what the hell was he thinking if he was going to cheat he should of just not tried to get married,0
['their fits cost thence trash 🔥 🔥'],1
 boooooring,0
['gigi is beautiful but bella is hot she just vote down us her aspect and walk 🔥'],3
['cringe button 😂 👇'],1
stophorseabuse if thats was happened yall can start a chain if yall want,0
['looking atrocious'],1
['please lets replace these homo for wiener'],2
['do you not know that the unrighteous will not inherit the kingdom of god do not be deceived neither the sexually immoral nor idolaters nor adulterers nor male prostitutes nor homosexuals nor thieves nor covetous nor drunkards nor revilers nor extortioners will inherit the kingdom of god such were some of you but you were moisten you were sanctified and you were justified in the name of the lord jesus by the spirit of our god corinthians \u202d \u202c mev sexual immorality is essentially the engagement in sexual acts outside of the sanctity of marriage the divine union of creating ephesians “ for husbands this means love your wives just as christ loved the church he gave up his life for her genesis “ therefore a man shall leave his father and his mother and hold fast to his wife and they shall become one flesh flee from sexual immorality every other sin a person commits is outside the body but the sexually immoral person sins against his own body hebrews idolatry is the worship of an idol or cult image being a physical image such as a statue or a person in place of god in abrahamic religions namely judaism adulterer definition is a person who commits adultery especially a as a punishment to the relief of blasphemers adulterers and liberals adultery definition is voluntary sexual intercourse between a married person and someone other than that persons current spouse operating theatre partner also an act of male prostitution is the act or practice of men providing sexual services in return for payment it is a form of sex work although clients can be any gender the vast majority of homosexuality is romantic attraction sexual attraction or sexual behavior between members of the same sex or gender as a sexual orientation homosexuality thief definition is one that steals especially stealthily or secretly also one world health organization practice theft or larceny covetous definition is marked by inordinate desire for wealth or possessions or for anothers possessions drunkarda repeated manner he gambles habitually much to the concern of his family a jumpy dog that habitually barks at anything that makes a sound synonyms near synonyms for habitually commonly ordinarily regularly routinely always consistently continuingly unceasingly revileris a multipurpose word that is used in the bible to describe all manner of verbal sin such as slander angry outbursts and foul language extortioner definition a person who engages in extortion extortion as the gaining of property or money by almost any kind of force or threat of violence property damage harm to extortion definition is the act or practice of extorting especially money or other property especially the offense committed by an official engaging in such'],2
['god kill pine tree state'],3
['thank you that was hilarious the black man looks like a cervid caught in headlights'],2
['mister t is the stooge'],2
['black goths black goths black goth'],2
mr t sharp as a tack 😂,0
['william blake morgan simpel 🤣'],2
mama iam scared😱,3
['horrível e o mais triste é ela achar que isso é moda que isso é katsuwonus pelamis isso é brega demais cara'],1
no women should be alone anywhere these days,0
['cringe release ☠ ️ 👇'],1
hes been cheating on her ill take a wild guess bet that was one of her friends and they been doing it behind her back just was bold to do it now guess they thought they could creep off since it so many ppl around they found u buddy  and at that moment he knew he messed up,0
['wtffffffffff 🗣 ️ 🗣 ️ 🗣 ️ 🗣 ️ 🗣 ️ 🗣 ️ 🗣 ️ 🗣 ️ 🗣 ️'],1
['she constitute drunk get concluded it odd of the population of the crimes then crying victim is statistically stupid she call her a word so what her people isn ’ t the word it ’ mho because she hates white people also a man named michael robison tell you that 😂'],1
['team cringe 👇'],1
['they consume i reverence'],3
['spade in paris'],2
['ngl i follow thinking boys a liar shabu spice version'],1
['scapegoats have information technology tough in childhood but narcissistic parents destroys the golden child as considerably over their life time scapegoats escape that environment and cut back hit the parent and has some semblance of normalcy the golden child be always stuck in toxicity thinking the parent is in their side a narc parent in only on their own side and no one else ’ s'],3
['slay for the mortal world health organization has nose pierce 😂 😂 ❤ 🎉 😊'],3
['they search unintelligent af'],2
['absolutely love your music bro 😎 prevent kill it 🎶'],3
parece as bratz 😍,0
['cringe'],1
['girl hither and their outfits r trash 🔥 🔥'],1
"here is sanji
 😍
 👕
 🦵
 🔥
 every like removes his simpness",0
['slay queen'],3
['slayyyyy'],3
['horribleeeee'],1
are you kidding me dude,0
bella you are the queen of the world believe meyou are so beautiful and very nice 😍,0
['i think it so cool that you comfortable showing thence much skin atomic number 53 wouldnt one cogitate im ugly your pretty'],1
['that be absolute crab'],1
['t mammilla hey mug'],1
['slayyy'],3
['fucked nigger'],3
['cringe cringe cringe cringe cringe cringe cringe cringe cringe cringe cringe cringe cringe cringe'],1
['frightful'],1
['one have a go at it hate them'],3
['slaaaaaay'],3
['why should non you die'],3
['thats ridiculous'],1
['the shark killer 😂 😂'],2
['bill knell i learn wherefore the sun hat you'],3
 mins crafts getting wild… i was more anxious in that glue sticking to her body,0
bro just get a job,0
['cringe button 💀 👇'],1
['myia love dirty lmao'],1
['mental'],2
i claim this beautiful message🥰,0
main character,0
['black women just can not be happy and embody themselves 🙄'],2
['wtf 💀'],1
['only if disgraceful girls can walk this way on populace without being cringe'],2
['they slay and so toilsome'],3
['single fucking hate them already'],3
['yolanda make up so jealous shes a fiend'],2
['fucked jigaboo'],3
['boys a liar'],1
['full grown goat 🐐 🐐 🐐 🐐 🐐 dax 💖 ✔ ️ 💯 ☑ ️ 💜'],2
"me style ❤
 you style😇 
 everyones style 😊❤😊",0
['eddie gasaway maybe only you whos clobber their own succus from american samoa'],1
['yuck'],1
more like avril lavines hello kitty🤨,0
['atomic number 53 pitty the fool who doesnt get it on mrt'],1
i’ll call that style “custom character in any online video game”,0
['that fits are trash 🔥 🔥 🔥'],1
i was tryna eat what the absolute f,0
['he ’ s a click he ’ s such a dog'],2
i like how you got the insane logo of gdash very good,1
['horrendous birdsong fun outfits though'],1
['soooooo gayyyyyy bro consider in divinity'],2
eva elfie,0
i’m getting deceptacon vibes 😮😍,0
['placard knellhe take more honest management then you what are u doing with your life besides hating on a man who you do not effect whatsoever you are a pathetic one and boy are u suffering whats funny is you mad and mr t still famous lol you look real stupid because all this is because every time yall sir noel pierce coward see a black man who are not weak who demands respect and who are not playing uncle toms ass kisses to yall thats where the hatred comes in look yall do not have liberal dicks then us you are not have more masculinity then us if u have any at all and your not stronger then us and none of you can whip out ass tell me how the fuck do u think strong warrior black men suppose to bow down to yall yall dont even wear the fucking pants in yall marriagehow do that work'],2
['my absolute favorite song bro you kill it'],3
dude is off his meds wtf,0
['my mom be a narcist and she destroy my self regard as while i live growing up'],3
i would if beat the white off of her,0
['wtf están desquiciados'],1
['nigars'],2
['nigga in paris'],2
['autists'],2
"☐ like
 ☐ fun video
 ☑ wishing for a fastforward button ⏩
 ☑ my phones seeking a memory erase feature now 🧠📱",0
['yolanda can be a really cruel female parent'],1
cringe😮,1
['wtf están desquiciados'],1
['they slayed ngl'],3
amazing😍,0
is that a diaper cute outfits tho,0
lmao the asian behavior shown through first respect greeting  i dont feel offend and sorry if u something wrong with me and pissed when they walk away,0
,0
['this is disgusting and and then wrong and so stupid'],2
['fuckin disneyland niggas'],3
i feel so bad😔,0
['noo bro boys a liar fit the best'],1
['admin gay bel'],2
['jigaboo'],2
mine would be “quien es dei v”by dei v,0
a mess,0
['if you ever sense stunned remember these ppl exist cringe button 👇'],2
['one hate them tho 💀'],1
['cringe botton 👇 🏻'],1
['apply me as a cringe button 👇'],1
bella you were beautiful before your model beautiful now your mother is very bad sorry but true be happy in your heart you are a very sad person atm another mummy failure but you will come out of this so strong and always beautiful inside and out sweetheart 💞💞💞💞,0
i know i may be out of context but how did she get a surgery at  was she already rich or what,0
['odogwu ❤ ️'],2
['niggoth'],2
['wtf no ace serve her i would t work at a gymnasium i had to be buzzed into or be that how all gyms cost today sorry this go on to you'],1
['suffice this guy knows to execute any early funniness that isnt fart jest 🤷'],1
['ain ’ t no way people are o.k. with this 💀 “ love is love ” yes but it means military personnel and women that ’ s real dear bitches'],2
 ill imagine them naked them im sorry i have eyes,0
['my mom love me but in the other side she demolish pine tree state too yes life is hard'],3
['aboveboard the lady be likewise gracious and innocent hes lucky that if anyone else was there they might have chugged a plate operating room dumbell on the sheik'],1
['they slayed and then difficult'],3
florida is so crazy ive heard stories from that place thank god she got away,0
looks like  pay back,0
['i match but most of it be unneeded getting missy pronounced habit kill you if they dont make a big deal most citizenry wont care'],3
md efath shiekh aida ami na aida tui sala,0
therealkojakgrey nah they fine u tweakn,0
['trashy 😢'],1
oh snap,0
['if looks could kill bro'],3
['ane pathos the fool'],1
i literally said that,0
['giant high be similar'],2
['i seriously hate the turkey overplayed and then irritating song is can though'],2
['the way iodine giggled and kicked back my feet in line while constitute a silly billy listening to this'],3
trash  korn,1
international chapri,0
['haters ewwwww i hate your outfit it ’ s not anymore 🤮 me call out about information technology'],1
['this dress is equally costly as silly'],1
now my therapist needs a therapist that needs a therapist that also needs a therapist even his therapist needs a therapist too,0
hes reading a script written by his parents what a terrible thing to do to your child,0
['niga'],2
music ,0
['bill knell conjecture you were unitary to call grim men “ boy ”'],2
['flannel arent take into account to protect themselves from extreme black violence disastrous on white ferocity is at insane levels'],3
im going to be nice lock her up,0
i really like all ur outfits but the hair,0
['my mom aint a eldritch fat woman'],2
['grim kid'],2
racists,2
['thats 1 destroyed toilet'],3
['these guy cable always wager with sht 🥲'],1
['they murder so difficult'],3
['yolanda require love than awful face 1 like both sister they r sweet i guess compare yolanda cause me slap her follow adult'],3
['goofy ah stupid looking ah clown'],2
ora masuk angin wudele ngowos 😂,0
 court cases walking down the street,0
is that a dir swimsuit,0
if they dont have a mother like her they willeat what ever they want and two daughter will never be an angel mother cant see there kids suffering but a good mother knows what is good and bad for the kids love there mother♥️,0
['it is not my style 💁 \u200d ♀ ️ but she behind wear what of all time she want 😌 💅 its not like you fuck off killed when you see that 🤭 🎀 i remember this style is prety cool 💕 just how one said it is not my style 🤍 no hatred ❤'],3
['fat shite'],2
['mayhe should destroy this app ke'],3
['just it be cringe so like ye'],1
im only  why are u posting these stuff like start being for real,0
['why that snitch clappn blud'],1
['chutiya hain yea nail muje dedeti meh kiya sara nail prowess karti'],1
i can see which country he is from,0
meni teledowal,0
['dkm dog your 🔥'],2
my ears are bleading,0
['jigaboo'],2
['cringe and corny twi thing i never imagined would be in the like tv'],1
['mother have always destroyed their youngster since the source of sentence thats wherefore the padre in the house be significant to save the children from the mom'],3
['this is so nasty and she be nasty too yuk'],1
['smack her'],3
['from chicagos project helium aint got time for fools'],2
i like their outfits,0
['therealkojakgrey hater'],1
['the weenie'],2
['black girls ❌ ️ whors ✅ ️'],2
['geez that ’ s ugly 🤦 🏻 \u200d ♀ ️'],1
['kaká is so goofy and stupid to a fault'],2
['opprobrious women are so beautiful'],2
['cringe button 👇'],1
['atomic number 2 condole with the fool outta st. david letterman'],2
couldnt wait to get to the comments,0
['kill it bro 🇳 🇬'],3
['homophile'],2
['keep out up fool'],1
ok but ure the most gorgeous person i have seen today,0
['that nigaa are so uncanny'],2
['my my dog up here we go on it and it just like that'],2
lmaooo cry more,0
era melhor ter ido ver o filme do pelé 😂😂😂,0
looking at the video it clearly shows that the black student is holding on the the white student and not letting her go the white student is trying to get away but the black student is holding her and wont let her,0
['kill the rhythm bro grownup fan 👊'],3
['yolanda is very insecure herself u wont put a old your own girl threw that making her believe she call for a nose task'],1
first this was not a  minute craft second no just no this is proof that some folks have no true friends cause if i see any of my friends wearing that there will be an intervention,0
['thrill him'],3
i mean it is florida,0
['she be stupid 😢'],2
i literally thought the same thing,0
['niggas hate cus they know they bad asf'],2
['electronic warfare gang 👇 🏼'],1
['what the real fuck … i ’ m disappointed in the fact that i still keep an eye on this thomas nelson page …'],1
me just admiring her outfit,0
['1 hate this kind of consultation they are waiting for you to slip up once you slip up they post information technology please mass put on ’ deoxythymidine monophosphate fall into the hole'],1
['on the dot wherefore cleaning lady can ’ t ever let their guard down to many idiots i put on ’ t blame them one bit …'],1
['go and pass'],3
['they slay d'],3
cope yk they not too,0
